CID,Formula,SMILES,MW,HBA,HBD,TPSA,Heavy_Atoms,Complexity,Energy_AB,Energy_8H,Energy_min,Energy_avg,Energy_diff,split
12585694,C3H3Li,[Li+].C=C=[CH-],46.0,1,0,0.0,4,26.3,-2.9153836465,-2.9182831624,-2.9182831624,-2.91683340445,0.0028995158999998,train
11018800,C3H3Na,CC#[C-].[Na+],62.05,1,0,0.0,4,29.8,-2.9201696058,-2.9206316273,-2.9206316273,-2.92040061655,0.0004620214999997,train
58676901,CHBNNa,[B][C-]=N.[Na+],60.83,2,1,23.9,4,15.5,-2.6941603502,-2.6865979409,-2.6941603502,-2.69037914555,0.0075624092999997,train
59522958,Cl2CsF,F[Cl-]Cl.[Cs+],222.81,2,0,0.0,4,6.0,-2.3922054658,-2.39395133,-2.39395133,-2.3930783979,0.0017458641999996,val
23696324,C2H6KN,C[N-]C.[K+],83.17,1,0,1.0,4,6.0,-3.1467530459,-3.1462688109,-3.1467530459,-3.1465109284,0.0004842350000004,train
162445248,C2H2NNa,C#C[NH-].[Na+],63.03,1,1,1.0,4,32.5,-2.8408958215,-2.8438573868,-2.8438573868,-2.84237660415,0.0029615652999996,train
160040791,ClHNNa,[NH-]Cl.[Na+],73.46,1,1,1.0,3,4.8,-2.4649591103,-2.4648724158,-2.4649591103,-2.46491576305,8.669450000020618e-05,train
23666607,C2H8BLi,[Li+].[BH2-](C)C,49.9,1,0,0.0,4,6.0,-3.2749204358,-3.2761600877,-3.2761600877,-3.27554026175,0.0012396519000001,train
169448209,CHClILi,[Li+].[CH-](Cl)I,182.3,1,0,0.0,4,8.0,-2.5029559365,-2.4986940803,-2.5029559365,-2.5008250084,0.0042618561999998,train
129678102,Br2IK,[K+].Br[I-]Br,325.81,1,0,0.0,4,6.0,-2.3298583382,-2.3310275735,-2.3310275735,-2.33044295585,0.0011692352999999,train
22495153,C3H7Na,C[CH-]C.[Na+],66.08,1,0,0.0,4,3.2,-3.2254492015,-3.238700594,-3.238700594,-3.23207489775,0.0132513924999999,train
19607366,C2BrLi,[Li+].[C-]#CBr,110.9,1,0,0.0,4,32.5,-2.5369850131,-2.5353114559,-2.5369850131,-2.5361482345,0.0016735572000001,test
21063311,H2KN3,NN=[N-].[K+],83.135,3,1,39.4,4,10.8,-2.8385952839,-2.8427588127,-2.8427588127,-2.8406770483,0.0041635288000003,val
153438311,B3Rb,[B][B-][B].[Rb+],117.9,1,0,0.0,4,3.2,-2.485889155,-2.4946615553,-2.4946615553,-2.49027535515,0.0087724002999998,train
139116698,BH5NNa,[BH3-]N.[Na+],52.85,2,1,26.0,3,4.8,-2.8679005033,-2.868740186,-2.868740186,-2.86832034465,0.0008396827000001,test
168737035,CHLiO,[Li+].[CH][O-],36.0,1,0,23.1,3,4.8,-2.5563185098,-2.5587626292,-2.5587626292,-2.5575405695,0.0024441193999997,train
23685604,CH4LiNO,[Li+].CO[NH-],53.0,2,1,10.2,4,8.0,-2.934843208,-2.9325721898,-2.934843208,-2.9337076989,0.0022710181999996,train
20820566,C2H2FLi,[Li+].C=[C-]F,52.0,2,0,0.0,4,13.5,-2.7589140201,-2.7587638872,-2.7589140201,-2.75883895365,0.0001501328999995,train
160055680,C2H8BNa,[BH3-]CC.[Na+],65.89,1,0,0.0,4,6.0,-3.2708419482,-3.2695409662,-3.2708419482,-3.2701914572,0.001300982,train
23670958,CH2INaO,C([O-])I.[Na+],179.92,1,0,23.1,4,8.0,-2.6992117392,-2.7001463825000003,-2.7001463825000003,-2.6996790608500003,0.0009346433000003,train
135048829,CH6BNaO,[BH3-]OC.[Na+],67.86,2,0,9.2,4,8.0,-3.088596912,-3.0841825519,-3.088596912,-3.08638973195,0.0044143600999997,val
21396528,C2H4FLi,[Li+].[CH2-]CF,54.0,2,0,0.0,4,6.0,-2.9450055924,-2.9421263602,-2.9450055924,-2.9435659763,0.0028792321999997,train
23694843,BrCl2Rb,Cl[Br-]Cl.[Rb+],236.27,1,0,0.0,4,6.0,-2.3527202286,-2.3508826887,-2.3527202286,-2.35180145865,0.0018375398999999,train
13351304,CH2FLi,[Li+].[CH2-]F,40.0,2,0,0.0,3,4.8,-2.5894977575,-2.5889159608,-2.5894977575,-2.58920685915,0.0005817967000001,val
160837484,C2FNa,[C-]#CF.[Na+],66.01,2,0,0.0,4,32.5,-2.5780987888,-2.5783080562,-2.5783080562,-2.5782034225,0.0002092673999998,train
13351302,CH4LiN,[Li+].[CH2-]N,37.0,2,1,26.0,3,4.8,-2.8251884553,-2.8251819859,-2.8251884553,-2.8251852206,6.469400000153058e-06,train
59187066,CH3BrINa,C[Br-]I.[Na+],244.83,1,0,0.0,4,8.0,-2.6796038777,-2.6759588021000003,-2.6796038777,-2.6777813399,0.0036450755999997,train
23670955,CH2BrNaO,C([O-])Br.[Na+],132.92,1,0,23.1,4,8.0,-2.7116627095,-2.7125137335,-2.7125137335,-2.7120882215,0.0008510239999997,test
161111143,BClH3Na,[BH3-]Cl.[Na+],72.28,1,0,0.0,3,4.8,-2.6127374866000004,-2.6123240309,-2.6127374866000004,-2.61253075875,0.0004134557000003,test
59894696,C2H6IK,C[I-]C.[K+],196.07,1,0,0.0,4,6.0,-3.0076440876,-3.0016879826,-3.0076440876,-3.0046660351,0.0059561049999996,val
23661847,C2H5LiO,[Li+].CC[O-],52.0,1,0,23.1,4,6.0,-3.0648618971,-3.0646732291000003,-3.0648618971,-3.0647675631,0.0001886679999998,train
129678136,C2H6KN,CC[NH-].[K+],83.17,1,1,1.0,4,6.0,-3.1575808724,-3.1494880313,-3.1575808724,-3.15353445185,0.0080928411000003,val
140455213,ILiO,[Li+].[O-]I,149.9,1,0,23.1,3,4.8,-2.3527019269,-2.3536924839,-2.3536924839,-2.3531972054,0.0009905569999997,test
22967321,FKO,[O-]F.[K+],74.096,2,0,23.1,3,4.8,-2.3645310413,-2.3857664259,-2.3857664259,-2.3751487336,0.0212353845999997,train
18727909,BF2Na,[B-](F)F.[Na+],71.8,3,0,0.0,4,6.0,-2.5327985087,-2.5309577307,-2.5327985087,-2.5318781197,0.001840778,train
11815407,CHBrClLi,[Li+].[CH-](Cl)Br,135.3,1,0,0.0,4,8.0,-2.5104584556,-2.509724597,-2.5104584556,-2.5100915263,0.0007338586000003,train
58529206,CH3IKN,C([NH-])I.[K+],195.044,1,1,1.0,4,8.0,-2.8055078261,-2.8042766457,-2.8055078261,-2.8048922359,0.0012311804,train
140659928,C2H6NNa,[CH2-]CN.[Na+],67.07,2,1,26.0,4,6.0,-3.1548837078000003,-3.1519759662,-3.1548837078000003,-3.153429837,0.0029077416,train
140440825,CH2FNaO,C([O-])F.[Na+],72.014,2,0,23.1,4,8.0,-2.7560247393,-2.7555378702,-2.7560247393,-2.75578130475,0.0004868690999999,train
20829522,BI2K,[B][I-]I.[K+],303.72,1,0,0.0,4,6.0,-2.3770663844,-2.3654847463,-2.3770663844,-2.37127556535,0.0115816381,test
11378442,CKNO,C(#N)[O-].[K+],81.115,2,0,46.9,4,34.5,-2.6934441075,-2.6925884102,-2.6934441075,-2.69301625885,0.0008556973,train
20587905,CBNNa,[B-]C#N.[Na+],59.82,2,0,23.8,4,34.5,-2.6266134276,-2.6168625593000003,-2.6266134276,-2.62173799345,0.0097508682999998,train
101754802,C2HKN-,C#C[N-].[K],78.13,1,0,1.0,4,29.3,-2.7530419759,-2.7492861208,-2.7530419759,-2.75116404835,0.0037558551,test
157489353,C2HLiO,[Li+].C#C[O-],48.0,1,0,23.1,4,32.5,-2.7486625278,-2.7476001116,-2.7486625278,-2.7481313197,0.0010624162000003,test
58841526,CH3FINa,C[I-]F.[Na+],183.927,2,0,0.0,4,8.0,-2.7292121424,-2.7315581865,-2.7315581865,-2.73038516445,0.0023460441000002,train
71417853,C2H2FNa,[CH-]=CF.[Na+],68.03,2,0,0.0,4,13.5,-2.7644386711,-2.7648102194,-2.7648102194,-2.76462444525,0.0003715483000004,train
59091021,BH2O2Rb,[B-](O)O.[Rb+],130.3,3,2,40.5,4,6.0,-2.7821422277,-2.7797664976,-2.7821422277,-2.78095436265,0.0023757301000002,test
59951885,CH2ORb,[CH2-][O].[Rb+],115.494,1,0,1.0,3,4.8,-2.6475055899,-2.6442893862,-2.6475055899,-2.64589748805,0.0032162037,val
166048945,BNaO,[B-]=O.[Na+],49.8,2,0,17.1,3,4.8,-2.5328187434,-2.4759343735,-2.5328187434,-2.50437655845,0.0568843699000001,train
171457097,H2NNaO2,[N-](O)O.[Na+],71.011,3,2,41.5,4,6.0,-2.7231306018,-2.7259015731,-2.7259015731,-2.72451608745,0.0027709712999999,train
140678060,C2H5KO,[CH2-]CO.[K+],84.16,2,1,20.2,4,6.0,-3.0480244611,-3.0453495667,-3.0480244611,-3.0466870139,0.0026748944000005,val
59815174,F2KN,[N-](F)F.[K+],91.102,3,0,1.0,4,6.0,-2.4628399063,-2.462691228,-2.4628399063,-2.46276556715,0.0001486783000004,train
71352770,C2H2ClLi,[Li+].C=[C-]Cl,68.5,1,0,0.0,4,13.5,-2.7270382052000004,-2.7261718014,-2.7270382052000004,-2.7266050033000004,0.0008664038000003,train
71335495,C2H3LiO,[Li+].C=[C-]O,50.0,2,1,20.2,4,13.5,-2.8910330171,-2.8925992177,-2.8925992177,-2.8918161174,0.0015662006000001,train
22944142,CHNaO,[CH-]=O.[Na+],52.008,2,0,17.1,3,4.8,-2.557667017,-2.5622407351,-2.5622407351,-2.55995387605,0.0045737180999996,train
23517219,CBKO,[B][C-]=O.[K+],77.92,2,0,17.1,4,15.5,-2.5892824905,-2.5908642532,-2.5908642532,-2.59007337185,0.0015817627000003,train
14925096,C2ILi,[Li+].[C-]#CI,157.9,1,0,0.0,4,32.5,-2.5307502664,-2.5318368435,-2.5318368435,-2.53129355495,0.0010865770999997,test
109374094,Cl3Na,[Na+].Cl[Cl-]Cl,129.34,1,0,0.0,4,3.2,-2.3538329555,-2.353075696,-2.3538329555,-2.35345432575,0.0007572595000002,train
129694264,CH3LiN2,[Li+].C=N[NH-],50.0,2,1,13.4,4,13.5,-2.9038952225,-2.9040717505,-2.9040717505,-2.9039834865,0.0001765279999998,train
