Formula,CID,Type,Energy
I46Pb16Cs16N1C2H6,58604523,AB,-314.76333473
I46Pb16Cs16N1C2H4,85789303,AB,-299.26051917
I46Pb16Cs16O2B1H1,161671995,8H,-271.16012225
I46Pb16Cs16F1C2H4,20745101,8H,-290.54952281
I46Pb16Cs16N2H3,11789120,8H,-272.28068376
I46Pb16Cs16N1C2H4,58153045,8H,-297.87112302
I46Pb16Cs16F1B1,153488305,8H,-238.64073885
I46Pb16Cs16C3H5,10964389,AB,-308.12715576
I46Pb16Cs16O1N2H3,58040490,8H,-284.50319013
I1Pb16Cs16B1H3,159330689,8H,-258.72621428
I46Pb16Cs16C2B1H4,153059879,8H,-292.14245247
I1Pb16Cs16Br1Cl1,23670966,8H,-233.98164151
I1Pb16Cs16F1C1H1,156024891,AB,-253.2690165
I46Pb16Cs16F1C2,160837484,8H,-257.83080562
I46Pb16Cs16Cl1C2H4,140816890,8H,-288.70773908
I46Pb16Cs16Cl1O2,58273116,AB,-245.94772321
I1Pb16Cs16C1H2,11332549,AB,-253.85478043
I46Pb16Cs16O1C1H3,10942334,8H,-273.50520612
I46Pb16Cs16N2C1H3,129694264,8H,-290.40717505
I46Pb16Cs16C1B1H3,57847394,8H,-268.48038125
I1Pb16Cs16Br1Cl1,23670966,AB,-234.34045663
I46Pb16Cs16C2B1H2,71330138,8H,-275.85948009
I46Pb16Cs16N2B1,59940102,8H,-260.16918277
I46Pb16Cs16B4,153438324,8H,-236.47717055
I46Pb16Cs16C3H7,15162395,8H,-322.64134676
I46Pb16Cs16N2C1H3,141177219,8H,-293.04704485
I46Pb16Cs16Br1O1N1H1,171720340,8H,-254.67796066
I46Pb16Cs16O1N1C1H2,160408535,8H,-280.09349022
I1Pb16Cs16Br1Cl1,23670141,AB,-234.58007398
I46Pb16Cs16O1C1H3,10942334,AB,-273.52028325
I46Pb16Cs16N2C1H3,141177219,AB,-292.98941816
I46Pb16Cs16N1C2H2,101615927,AB,-286.00409692
I46Pb16Cs16N2C1H3,23564021,8H,-288.98693168
I46Pb16Cs16Cl1O1C1H2,23670957,8H,-272.37574181
I46Pb16Cs16O1N1C1H4,145797293,AB,-297.28214932
I46Pb16Cs16C2B1H6,23710048,8H,-310.64455602
I46Pb16Cs16O2B1H2,59091021,AB,-278.21422277
I46Pb16Cs16O1N1C1H2,140553376,AB,-283.76412438
I46Pb16Cs16N1C2H6,154083898,AB,-313.9582744
I46Pb16Cs16N1C1B1H2,126968433,AB,-280.40292933
I46Pb16Cs16N1C1B1H1,20776120,8H,-268.83163325
I46Pb16Cs16O2C1H1,13132253,8H,-271.24597629
I46Pb16Cs16Br1O2,129708031,AB,-243.36532303
I46Pb16Cs16N1C2H6,129678136,8H,-314.94880313
I46Pb16Cs16C2H5,13351308,8H,-291.26926506
I46Pb16Cs16N1C2H4,129657746,AB,-296.7804866
I46Pb16Cs16N2C1H3,23564021,AB,-289.1379285
I1Pb16Cs16C2H6,59894696,8H,-300.16879826
I46Pb16Cs16Br1O1C1H2,168867702,8H,-267.31437996
I46Pb16Cs16N2C1H1,101102651,8H,-278.60632287
I46Pb16Cs16N6,10290740,AB,-267.65235779
I46Pb16Cs16N1C2H4,59854993,AB,-300.98133668
I46Pb16Cs16O1C2H3,71368517,8H,-288.86230525
I46Pb16Cs16C3H5,11789119,AB,-308.28779243
I46Pb16Cs16O1C1H1,22944142,AB,-255.7667017
I1Pb16Cs16O1C1H2,23670958,8H,-270.01463825
I46Pb16Cs16Br2Cl1,23697866,AB,-234.2713589
I46Pb16Cs16O1N1C1H4,140584049,AB,-292.96757085
I46Pb16Cs16C2H1,10964394,8H,-258.64169773
I46Pb16Cs16O2C1H1,102216787,AB,-274.6336987
I46Pb16Cs16N2C1H1,13005318,8H,-278.52999294
I46Pb16Cs16N1C2H4,85789303,8H,-299.47246688
I46Pb16Cs16C3H5,10964389,8H,-308.32241974
I46Pb16Cs16O1N1H2,20223730,AB,-261.35202078
I46Pb16Cs16N2C1H3,129646904,8H,-292.07457726
I46Pb16Cs16N1C1H2,129657214,AB,-265.35766368
I46Pb16Cs16N1C1B1H1,58676901,8H,-268.65979409
I46Pb16Cs16F1C2H4,21396528,AB,-294.50055924
I46Pb16Cs16O1B1H4,160703337,AB,-277.01742391
I46Pb16Cs16C1B1H6,23674609,8H,-294.4861367
I46Pb16Cs16O1C2H5,10887816,8H,-303.20534078
I46Pb16Cs16Cl1O2,129692527,AB,-244.79718605
I46Pb16Cs16O1C2H3,129836041,8H,-286.29723779
I46Pb16Cs16Cl1O1C1,58482386,AB,-257.09551157
I46Pb16Cs16N1C2H6,154083898,8H,-314.25834617
I46Pb16Cs16O1C2H3,22218824,8H,-288.66013534
I46Pb16Cs16O2N1H2,158529849,AB,-273.93161507
I46Pb16Cs16C2B1H2,71417848,8H,-278.02191749
I46Pb16Cs16Cl2C1H1,11829362,8H,-252.17613861
I46Pb16Cs16O2C1H3,22960788,8H,-282.30997957
I46Pb16Cs16N1B1,58627710,AB,-245.53761895
I1Pb16Cs16C2,14925096,8H,-253.18368435
I46Pb16Cs16C3H3,14487815,8H,-291.80308983
I1Pb16Cs16O1,140455213,AB,-235.27019269
I46Pb16Cs16O4,23676566,8H,-240.55640173
I46Pb16Cs16Cl2C1H1,11829362,AB,-252.13241564
I46Pb16Cs16Br1O1N1H1,171720340,AB,-255.73292785
I46Pb16Cs16O1N1,154169190,AB,-244.79008633
I46Pb16Cs16F2B1,18727909,AB,-253.27985087
I46Pb16Cs16O1N1B1H1,172165965,8H,-265.55275624
I46Pb16Cs16N1C2H2,11040616,8H,-283.26410431
I46Pb16Cs16N1C1B1,20587905,8H,-261.68625593
I46Pb16Cs16O2C1H3,22900039,AB,-287.11709537
I46Pb16Cs16C1B1H6,23674609,AB,-294.31492753
I46Pb16Cs16C3H3,11018800,8H,-292.06316273
I46Pb16Cs16O1N2H1,161449774,AB,-271.0959558
I46Pb16Cs16Br2C1H1,11052230,AB,-250.43197149
I46Pb16Cs16C3H5,11789119,8H,-307.9346366
I2Pb16Cs16C1H3,20829530,8H,-266.85709189
I46Pb16Cs16O1N1C1H2,129668209,AB,-282.95244413
I1Pb16Cs16Br1C1H3,59187066,8H,-267.59588021
I46Pb16Cs16N1C1B1H3,131710163,AB,-289.12375303
I1Pb16Cs16B1,59780101,8H,-230.84109181
I46Pb16Cs16N1C1B1H5,59341893,AB,-304.74237024
I46Pb16Cs16Br1O1,140361553,AB,-235.29604749
I46Pb16Cs16Cl2F1,59522958,8H,-239.395133
I46Pb16Cs16N1B1H1,162457270,AB,-255.80827386
I46Pb16Cs16B4,153438324,AB,-235.53431662
I46Pb16Cs16Br1C2H4,22606574,AB,-286.23709024
I46Pb16Cs16C2B1H3,129657743,AB,-285.12756944
I46Pb16Cs16C3H7,15162395,AB,-324.28760209
I46Pb16Cs16O1N1C1,11366948,AB,-263.62991143
