CID,Formula,SMILES,MW,HBA,HBD,TPSA,Heavy_Atoms,Complexity,Energy_AB,Energy_8H,Energy_min,Energy_avg,Energy_diff
102216787,CHLiO2,[Li+].C(=O)[O-],52.033,2,0,40.1,4,13.5,-2.7463369870000003,-2.7454280568000002,-2.7463369870000003,-2.7458825219000005,0.0009089302000000465
139260950,BH2NNa,[B-]N.[Na+],49.83,2,1,26.0,3,4.8,-2.6145029090999996,-2.6171113647,-2.6171113647,-2.6158071369,0.0026084556000003367
129708031,BrKO2,[O-]Br=O.[K+],151.0,2,0,40.1,4,13.5,-2.4336532303,-2.4419044088999997,-2.4419044088999997,-2.4377788196,0.008251178599999687
20829530,CH3I2K,C[I-]I.[K+],307.942,1,0,0.0,4,6.0,-2.6690183328,-2.6685709189,-2.6690183328,-2.66879462585,0.00044741389999991554
23670957,CH2ClKO,C([O-])Cl.[K+],104.58,1,0,23.1,4,8.0,-2.7215319311000004,-2.7237574181000004,-2.7237574181000004,-2.7226446746000006,0.002225487000000026
161103746,BHNNa,[BH-]#N.[Na+],48.82,2,0,23.8,3,12.8,-2.5646984249,-2.5649222473999997,-2.5649222473999997,-2.56481033615,0.00022382249999974846
58273116,ClNaO2,[O-]OCl.[Na+],90.44,2,0,32.3,4,6.0,-2.4594772321,-2.4576906773,-2.4594772321,-2.4585839547,0.0017865547999997844
11040616,C2H2LiN,[Li+].[CH2-][N+]#[C-],47.0,2,0,4.4,4,32.5,-2.8316561189,-2.8326410430999998,-2.8326410430999998,-2.8321485809999998,0.0009849241999999592
58482386,CClKO,[C-](=O)Cl.[K+],102.56,2,0,17.1,4,15.5,-2.5709551157,-2.5712090911,-2.5712090911,-2.5710821034,0.0002539754000001615
129692527,ClO2Rb,[O-]Cl=O.[Rb+],152.92,2,0,40.1,4,13.5,-2.4479718605,-2.4462367129,-2.4479718605,-2.4471042867,0.00173514759999982
131710163,CH3BLiN,[Li+].[BH3-]C#N,46.8,2,0,23.8,4,34.5,-2.8912375302999997,-2.8898613039,-2.8912375302999997,-2.8905494171,0.0013762263999996804
71330138,C2H2BLi,[Li+].[B-]1C=C1,43.8,1,0,0.0,4,29.0,-2.7776596489000003,-2.7585948008999996,-2.7776596489000003,-2.7681272248999997,0.019064848000000634
11768494,CH2ClLi,[Li+].[CH2-]Cl,56.4,1,0,0.0,3,4.8,-2.5603821642000004,-2.5599067835,-2.5603821642000004,-2.5601444738500003,0.00047538070000063826
58604523,C2H6NRb,C[CH-]N.[Rb+],129.54,2,1,26.0,4,6.0,-3.1476333472999998,-2.3113516676,-3.1476333472999998,-2.72949250745,0.8362816796999999
14487815,C3H3Li,[Li+].[CH2-]C#C,46.0,1,0,0.0,4,29.8,-2.9146624863,-2.9180308982999996,-2.9180308982999996,-2.9163466923,0.0033684119999994877
161449774,HN2NaO,[NH-]N=O.[Na+],68.011,3,1,30.4,4,13.5,-2.7109595580000003,-2.7093813311000003,-2.7109595580000003,-2.71017044455,0.0015782268999999793
58040490,H3KN2O,N[N-]O.[K+],86.135,3,2,47.3,4,6.0,-2.8441341898,-2.8450319013,-2.8450319013,-2.8445830455500003,0.0008977114999999536
160703337,BH4KO,[BH3-]O.[K+],69.94,2,1,20.2,3,4.8,-2.7701742390999997,-2.7694252046999996,-2.7701742390999997,-2.7697997218999997,0.0007490344000000704
22218824,C2H3NaO,C[C-]=O.[Na+],66.03,2,0,17.1,4,13.5,-2.889451881,-2.8866013534,-2.889451881,-2.8880266172,0.002850527599999708
101059734,CH2KO-,[CH2][O-].[K],69.124,1,0,23.1,3,2.0,-2.6475100702999996,-2.6424270998,-2.6475100702999996,-2.64496858505,0.005082970499999728
134992350,C2H5BLi,[Li+].[B-]CC,46.8,1,0,0.0,4,6.0,-3.0074768977999997,-3.0037770987,-3.0074768977999997,-3.00562699825,0.0036997990999996233
154169190,KNO,[N-]=O.[K+],69.105,2,0,18.1,3,4.8,-2.4479008633,-2.4453711016,-2.4479008633,-2.44663598245,0.002529761699999966
20776120,CHBNNa,[B]N=[CH-].[Na+],60.83,2,0,12.4,4,15.5,-2.6876204337000003,-2.6883163325,-2.6883163325,-2.6879683831000003,0.0006958987999996502
162403047,C2H5ORb,C[CH-]O.[Rb+],130.53,2,1,20.2,4,6.0,-3.0455924936,-3.0338850118,-3.0455924936,-3.0397387527,0.011707481800000252
